;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;LimitSummSpeedL;LimitSummSpeedR;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
262;1830;940;929;1101;213;548;76;1234;0;0;25000;8241;-59;930;-840;325;361;901;956;494;830;485;901;17356;109;-758;-2549;17060;2185;3000;1655;348;1345;2640;664;213;-78;527;-381;13383;25000;0;939;163;-1046;244;464;907;1074;490;908;484;907;17376;285;234;-4092;16607;30037;3000;1529;346;1471;2640;-324;360;56;478;1419;8277;5433;2578;7252;366;1384;674;652;27;527;30;30;442;442;-381;371;0;0;36;-36;2295;-977;-977;0;77;0;0;0;0;0;
263;1830;940;934;1081;185;466;84;1234;0;10649;0;25000;-595;-255;913;288;224;904;870;489;833;493;904;17408;110;-657;-2384;17452;13926;3000;1650;347;1350;2640;-737;222;-73;539;-56;8831;0;25000;-693;-70;749;250;283;911;789;491;910;496;911;17383;283;235;-3098;17787;13107;3000;1526;345;1474;2640;-86;-491;-138;-486;1424;4560;8359;5654;1099;366;1384;700;715;-112;-546;30;30;442;442;-56;-541;0;0;36;-36;2295;-982;-982;0;77;0;0;0;0;0;
264;1830;940;930;1101;215;583;90;1234;0;25000;14012;0;898;-540;-370;272;304;899;850;489;835;497;899;17401;109;-583;-2530;17631;25805;3000;1647;348;1353;2640;839;239;-78;544;451;16358;25000;0;946;-9;-923;319;377;919;1015;488;908;468;919;17339;282;234;-3456;16614;29082;3000;1528;344;1472;2640;433;258;136;445;1427;5662;2421;8873;4263;366;1384;702;661;119;513;30;30;442;442;451;314;0;0;35;-36;2295;-985;-985;0;77;0;0;0;0;0;
265;1830;940;952;1100;211;531;70;1234;0;0;25000;16776;-663;928;-192;246;156;898;912;487;837;495;898;17425;110;-630;-2032;17310;5052;3000;1644;348;1356;2640;-850;198;-62;531;-515;5873;2211;25000;-946;51;844;261;293;909;1008;490;910;482;909;17315;281;236;-3173;16751;12015;3000;1526;346;1474;2640;-466;169;-216;-428;1427;3732;5299;2426;7091;366;1384;693;671;-205;-488;30;30;442;442;-515;145;0;0;35;-35;2295;-985;-985;0;78;0;0;0;0;0;
266;1830;940;947;1080;188;456;85;1234;0;21803;0;20959;36;-755;739;152;99;895;857;482;843;505;895;17433;110;-448;-2894;17532;17203;3000;1634;348;1366;2640;904;175;-88;538;285;21704;20367;0;934;-122;-723;257;218;912;971;490;910;480;912;17349;277;237;-2968;16829;27580;3000;1526;345;1474;2640;225;-451;290;376;1429;2558;8403;5813;1209;366;1384;702;679;286;447;30;30;442;442;285;-465;0;0;35;-35;2295;-987;-987;0;78;0;0;0;0;0;
267;1830;940;953;1097;214;596;69;1234;0;15858;25000;0;776;135;-896;168;278;899;937;482;843;500;899;17394;111;-496;-3572;17163;29491;3000;1634;348;1366;2640;-947;173;-110;530;103;1731;6048;25000;-953;356;608;288;303;917;914;491;906;480;917;17362;273;238;-3128;17118;10650;3000;1531;344;1469;2640;132;480;-327;-350;1430;7853;2385;8617;4164;366;1384;687;685;-332;-421;30;30;442;442;103;531;0;0;35;-35;2295;-988;-988;0;77;0;0;0;0;0;
268;1830;940;940;1103;210;549;71;1234;0;0;11315;25000;-929;613;363;220;310;899;887;481;844;498;899;17413;111;-425;-3125;17513;9148;3000;1632;349;1368;2640;917;266;-96;541;-456;25000;16316;0;834;-162;-616;199;54;906;872;489;910;500;906;17392;270;239;-2549;17457;26487;3000;1526;346;1474;2640;-438;-254;396;311;1432;5345;5239;2461;7056;366;1384;698;709;402;368;30;30;442;442;-456;-305;0;0;35;-35;2295;-990;-990;0;77;0;0;0;0;0;
269;1830;940;934;1076;181;446;65;1234;0;25000;2618;4953;680;-920;249;199;243;901;925;478;848;487;901;17430;112;-427;-3391;17151;21845;3000;1625;348;1375;2640;-945;234;-103;526;535;0;9742;25000;-1036;590;426;273;358;906;976;488;911;489;906;17396;264;238;-3301;17171;9557;3000;1524;348;1476;2640;476;-80;-402;-292;1432;4834;8372;5509;1007;366;1384;680;679;-419;-340;30;30;442;442;535;-40;0;0;35;-35;2295;-990;-990;0;78;0;0;0;0;0;
270;1830;940;948;1100;205;546;76;1234;0;0;25000;8001;33;745;-714;192;332;905;774;484;852;507;905;17380;113;-384;-3603;17781;1911;3000;1620;346;1380;2640;922;261;-111;549;-400;25000;14617;0;844;-376;-389;177;168;905;827;487;911;499;905;17401;262;237;-3231;17588;25668;3000;1524;346;1476;2640;-342;386;427;259;1435;5122;2259;8711;4101;366;1384;714;711;442;330;30;30;442;442;-400;391;0;0;34;-34;2295;-993;-993;0;77;0;0;0;0;0;
271;1830;940;957;1098;208;522;65;1234;0;13021;0;25000;-429;-473;854;198;148;904;865;483;852;501;904;17404;113;-494;-2820;17414;14609;3000;1620;347;1380;2640;-929;206;-87;537;15;0;11314;25000;-1028;566;463;230;245;903;1000;485;916;490;903;17397;258;235;-3075;17045;9148;3000;1515;348;1485;2640;-24;-506;-426;-251;1436;3203;5344;2491;7167;366;1384;703;680;-444;-298;30;30;442;442;15;-545;0;0;35;-35;2295;-994;-994;0;77;0;0;0;0;0;
272;1830;940;929;1081;188;473;82;1234;0;21855;20986;0;730;-69;-632;185;145;910;785;484;856;497;910;17387;114;-540;-2945;17605;27716;3000;1613;345;1387;2640;948;174;-90;543;288;25000;13990;0;957;-400;-505;269;115;915;951;485;920;476;915;17360;255;234;-3002;16891;25532;3000;1509;345;1491;2640;301;396;411;238;1437;3324;8303;5607;1115;366;1384;716;680;434;303;30;30;442;442;288;469;0;0;35;-35;2295;-995;-995;0;77;0;0;0;0;0;
273;1835;940;944;1103;206;551;75;1234;0;0;14849;25000;-888;760;166;168;295;904;904;487;855;503;904;17350;114;-505;-3689;17182;7919;3000;1614;346;1386;2640;-927;170;-114;534;-505;0;9799;25000;-1026;642;360;233;346;900;979;486;923;484;900;17364;253;233;-3869;17040;9148;3000;1504;349;1496;2640;-478;-152;-397;-275;1439;8040;2477;8842;4294;367;1384;696;669;-420;-338;30;30;442;442;-505;-206;0;0;35;-35;2295;-997;-997;0;76;0;0;0;0;0;
274;1830;940;941;1095;215;546;70;1234;0;25000;0;8508;577;-940;298;231;191;902;897;487;861;493;902;17372;113;-593;-2735;17279;21026;3000;1605;347;1395;2640;937;197;-83;533;517;25000;13959;0;773;-311;-439;211;89;914;771;484;920;496;914;17396;251;231;-2947;17651;25668;3000;1509;344;1491;2640;461;-180;439;247;1438;4386;5433;2915;7283;366;1384;693;719;454;314;30;30;442;442;517;-156;0;0;34;-34;2295;-996;-996;0;77;0;0;0;0;0;
275;1830;940;920;1079;186;466;63;1234;0;1504;25000;6418;-43;896;-855;212;245;896;980;485;863;488;896;17419;113;-640;-3284;16999;1502;3000;1601;349;1399;2640;-980;165;-100;522;-337;0;9371;25000;-1061;737;325;338;478;927;976;482;924;470;927;17318;247;228;-3749;16870;9421;3000;1503;344;1497;2640;-277;398;-381;-294;1440;7239;8559;5955;1450;366;1384;670;670;-408;-348;30;30;442;442;-337;410;0;0;34;-34;2140;-998;-998;0;78;0;0;0;0;0;
276;1835;940;939;1100;208;565;85;1234;0;14829;0;25000;-480;-480;940;240;227;904;921;485;861;486;904;17371;114;-650;-2961;17133;14882;3000;1605;347;1395;2640;936;184;-91;529;71;25000;15724;0;777;-333;-436;191;144;918;765;486;924;496;918;17329;245;226;-3411;17569;25941;3000;1503;343;1497;2640;26;-486;411;285;1440;5616;2674;27;4536;367;1384;685;721;423;359;30;30;442;442;71;-532;0;0;35;-35;2295;-998;-998;0;77;0;0;0;0;0;
277;1835;940;950;1089;215;565;75;1234;0;20475;21741;0;830;36;-870;178;115;899;974;484;862;493;899;17405;114;-538;-3060;16958;28126;3000;1603;348;1397;2640;-930;166;-94;523;245;0;8782;25000;-950;281;673;199;78;914;973;486;924;486;914;17337;243;224;-3018;16856;9830;3000;1503;345;1497;2640;259;415;-383;-292;1442;3377;5755;3118;7595;367;1384;680;689;-392;-359;30;30;442;442;245;472;0;0;35;-35;2295;-1000;-1000;0;77;0;0;0;0;0;
